Location,PostOffice,State,Postcode
Kampung Kerayong,Kuala Lumpur,Wilayah Persekutuan,50460
Kampung Kerdas,Kuala Lumpur,Wilayah Persekutuan,53100
Kampung Kerinchi,Kuala Lumpur,Wilayah Persekutuan,59200
Kampung Khatijah,Kuala Lumpur,Wilayah Persekutuan,50470
Kampung Kim Kee,Kuala Lumpur,Wilayah Persekutuan,52100
Kampung Klang Gate Baru,Kuala Lumpur,Wilayah Persekutuan,53100
Kampung Ksatam,Kuala Lumpur,Wilayah Persekutuan,50470
Kampung Kuantan,Kuala Lumpur,Wilayah Persekutuan,53000
Kampung Lee Kong Chan,Kuala Lumpur,Wilayah Persekutuan,53100
Kampung Limau,Kuala Lumpur,Wilayah Persekutuan,50300
Kampung Limau,Kuala Lumpur,Wilayah Persekutuan,59200
Kampung Loke Yew,Kuala Lumpur,Wilayah Persekutuan,50460
Kampung Loke Yuen,Kuala Lumpur,Wilayah Persekutuan,55100
Kampung Lower Kovil,Kuala Lumpur,Wilayah Persekutuan,51100
Kampung Malaysia,Kuala Lumpur,Wilayah Persekutuan,57100
Kampung Malaysia Baru,Kuala Lumpur,Wilayah Persekutuan,57100
Kampung Malaysia Jaya,Kuala Lumpur,Wilayah Persekutuan,58200
Kampung Malaysia Raya,Kuala Lumpur,Wilayah Persekutuan,57100
Kampung Malaysia Tambahan,Kuala Lumpur,Wilayah Persekutuan,57100
Kampung Manggis,Kuala Lumpur,Wilayah Persekutuan,58000
Kampung Marali,Kuala Lumpur,Wilayah Persekutuan,53000
Kampung Masjid,Kuala Lumpur,Wilayah Persekutuan,51200
Kampung Mawar Indah,Kuala Lumpur,Wilayah Persekutuan,51000
Kampung Maxwell,Kuala Lumpur,Wilayah Persekutuan,50480
Kampung Maya,Kuala Lumpur,Wilayah Persekutuan,57100
Kampung MBS,Kuala Lumpur,Wilayah Persekutuan,51000
Kampung Medan Batu Muda,Kuala Lumpur,Wilayah Persekutuan,51100
Kampung Medan Batu Utama,Kuala Lumpur,Wilayah Persekutuan,51100
Kampung Melayu,Kuala Lumpur,Wilayah Persekutuan,57100
Kampung Melayu FRI,Kuala Lumpur,Wilayah Persekutuan,52100
Kampung Melayu Kepong,Kuala Lumpur,Wilayah Persekutuan,52100
Kampung Melayu Tambahan,Kuala Lumpur,Wilayah Persekutuan,57100
Kampung Mengkudu,Kuala Lumpur,Wilayah Persekutuan,55000
Kampung Muhibbah,Kuala Lumpur,Wilayah Persekutuan,57100
Kampung Muhibbah,Kuala Lumpur,Wilayah Persekutuan,58200
Kampung Muthia,Kuala Lumpur,Wilayah Persekutuan,51000
Kampung Ong Lok,Kuala Lumpur,Wilayah Persekutuan,52100
Kampung Padang,Kuala Lumpur,Wilayah Persekutuan,59200
Kampung Padang Balang,Kuala Lumpur,Wilayah Persekutuan,51000
Kampung Padang Balang Hilir,Kuala Lumpur,Wilayah Persekutuan,51000
Kampung Padang Dalam,Kuala Lumpur,Wilayah Persekutuan,51000
Kampung Padang Pasir Segambut,Kuala Lumpur,Wilayah Persekutuan,51200
Kampung Padang Tembak,Kuala Lumpur,Wilayah Persekutuan,54000
Kampung Pakar,Kuala Lumpur,Wilayah Persekutuan,57100
Kampung Palimbangan Indah,Kuala Lumpur,Wilayah Persekutuan,60000
Kampung Palimbayam Tanah 60,Kuala Lumpur,Wilayah Persekutuan,60000
Kampung Palimbayan,Kuala Lumpur,Wilayah Persekutuan,60000
Kampung Palimbayan Indah,Kuala Lumpur,Wilayah Persekutuan,60000
Kampung Pandan,Kuala Lumpur,Wilayah Persekutuan,55100
Kampung Pandan Dalam,Kuala Lumpur,Wilayah Persekutuan,55100
Kampung Pandan Luar,Kuala Lumpur,Wilayah Persekutuan,55100
Kampung Pantai,Kuala Lumpur,Wilayah Persekutuan,59200
Kampung Pantai Dalam,Kuala Lumpur,Wilayah Persekutuan,59200
Kampung Pasir,Kuala Lumpur,Wilayah Persekutuan,58200
Kampung Pasir (Sungai Besi),Kuala Lumpur,Wilayah Persekutuan,57100
Kampung Pasir Baru,Kuala Lumpur,Wilayah Persekutuan,58200
Kampung Pasir Kiri,Kuala Lumpur,Wilayah Persekutuan,59200
Kampung Pasir Segambut,Kuala Lumpur,Wilayah Persekutuan,51200
Kampung Pasir Segambut Luar,Kuala Lumpur,Wilayah Persekutuan,51200
Kampung Paya,Kuala Lumpur,Wilayah Persekutuan,59200
Kampung Peel,Kuala Lumpur,Wilayah Persekutuan,55100
Kampung Periuk,Kuala Lumpur,Wilayah Persekutuan,50300
Kampung Pertama,Kuala Lumpur,Wilayah Persekutuan,57100
Kampung Pertanian,Kuala Lumpur,Wilayah Persekutuan,50480
Kampung Perwira,Kuala Lumpur,Wilayah Persekutuan,55100
Kampung Perwira Jaya,Kuala Lumpur,Wilayah Persekutuan,55000
Kampung Petaling Bahagia,Kuala Lumpur,Wilayah Persekutuan,58200
Kampung Pinang,Kuala Lumpur,Wilayah Persekutuan,57000
Kampung Pinggir,Kuala Lumpur,Wilayah Persekutuan,60000
Kampung Puah,Kuala Lumpur,Wilayah Persekutuan,53000
Kampung Puah Bahagia,Kuala Lumpur,Wilayah Persekutuan,51000
Kampung Puah Hilir,Kuala Lumpur,Wilayah Persekutuan,53000
Kampung Puah Jaya,Kuala Lumpur,Wilayah Persekutuan,53000
Kampung Puah Lembah,Kuala Lumpur,Wilayah Persekutuan,53000
Kampung Puah Seberang,Kuala Lumpur,Wilayah Persekutuan,51000
Kampung Railway Station,Kuala Lumpur,Wilayah Persekutuan,51200
Kampung RajawalI,Kuala Lumpur,Wilayah Persekutuan,56100
Kampung Ratnam Pillay,Kuala Lumpur,Wilayah Persekutuan,51100
Kampung Raya Permai,Kuala Lumpur,Wilayah Persekutuan,57100
Kampung Samuel,Kuala Lumpur,Wilayah Persekutuan,55200
Kampung SamYoke,Kuala Lumpur,Wilayah Persekutuan,55200
Kampung Satu,Kuala Lumpur,Wilayah Persekutuan,57100
Kampung Scott,Kuala Lumpur,Wilayah Persekutuan,50470
Kampung Seavoy,Kuala Lumpur,Wilayah Persekutuan,53000
Kampung Segambut,Kuala Lumpur,Wilayah Persekutuan,51200
Kampung Segambut Bahagia,Kuala Lumpur,Wilayah Persekutuan,51200
Kampung Segambut Dalam,Kuala Lumpur,Wilayah Persekutuan,51200
Kampung Segambut Luar,Kuala Lumpur,Wilayah Persekutuan,51200
Kampung Segambut Masjid,Kuala Lumpur,Wilayah Persekutuan,51200
Kampung Segambut Permai,Kuala Lumpur,Wilayah Persekutuan,51200
Kampung Segambut Tengah,Kuala Lumpur,Wilayah Persekutuan,51200
Kampung Selamat (Pantai Baru),Kuala Lumpur,Wilayah Persekutuan,59200
Kampung Selamat (Sungai Besi),Kuala Lumpur,Wilayah Persekutuan,57000
Kampung Selasih,Kuala Lumpur,Wilayah Persekutuan,51000
Kampung Semarak,Kuala Lumpur,Wilayah Persekutuan,54000
Kampung Semarang,Kuala Lumpur,Wilayah Persekutuan,50350
Kampung Semerah Padi (Tangki Air),Kuala Lumpur,Wilayah Persekutuan,56100
Kampung Sentosa,Kuala Lumpur,Wilayah Persekutuan,58000
Kampung Sentosa Sepakat,Kuala Lumpur,Wilayah Persekutuan,58000
Kampung Seri Damai,Kuala Lumpur,Wilayah Persekutuan,56100
Kampung Seri Indah,Kuala Lumpur,Wilayah Persekutuan,57100
Kampung Seri Indah (Gombak),Kuala Lumpur,Wilayah Persekutuan,53000
Kampung Seri Lembah Keramat,Kuala Lumpur,Wilayah Persekutuan,54200
Kampung Seri Malaysia,Kuala Lumpur,Wilayah Persekutuan,57100
Kampung Seri Muhibbah,Kuala Lumpur,Wilayah Persekutuan,57000
Kampung Seri Perantau,Kuala Lumpur,Wilayah Persekutuan,57000
Kampung Seri Sentosa,Kuala Lumpur,Wilayah Persekutuan,58000
Kampung Setia Jaya,Kuala Lumpur,Wilayah Persekutuan,53100
Kampung Siam,Kuala Lumpur,Wilayah Persekutuan,53000
Kampung Simpang Batu,Kuala Lumpur,Wilayah Persekutuan,51200
Kampung Simpang Tiga Gombak,Kuala Lumpur,Wilayah Persekutuan,53100
Kampung Sri Batu,Kuala Lumpur,Wilayah Persekutuan,51100
Kampung Sri Delima,Kuala Lumpur,Wilayah Persekutuan,52000
Kampung Sungai Besi,Kuala Lumpur,Wilayah Persekutuan,57100
Kampung Sungai Cincin,Kuala Lumpur,Wilayah Persekutuan,53100
Kampung Sungai Jernih,Kuala Lumpur,Wilayah Persekutuan,51200
Kampung Sungai Kerayong,Kuala Lumpur,Wilayah Persekutuan,55100
Kampung Sungai Merali,Kuala Lumpur,Wilayah Persekutuan,53000
Kampung Sungai Mulia,Kuala Lumpur,Wilayah Persekutuan,53000
Kampung Sungai Penchala,Kuala Lumpur,Wilayah Persekutuan,60000
Kampung Sungai Pusu,Kuala Lumpur,Wilayah Persekutuan,53100
Kampung Sungai Salak,Kuala Lumpur,Wilayah Persekutuan,53100
Kampung Sungai Salak Tambahan,Kuala Lumpur,Wilayah Persekutuan,53100
Kampung Sungai Udang,Kuala Lumpur,Wilayah Persekutuan,51200
Kampung Supreme,Kuala Lumpur,Wilayah Persekutuan,56100
Kampung Suria,Kuala Lumpur,Wilayah Persekutuan,52100
Kampung Syed Mohamad,Kuala Lumpur,Wilayah Persekutuan,57100
Kampung Syed Putra,Kuala Lumpur,Wilayah Persekutuan,50470
Kampung Tai San,Kuala Lumpur,Wilayah Persekutuan,57100
Kampung Taman City,Kuala Lumpur,Wilayah Persekutuan,51200
Kampung Teepi Sungai,Kuala Lumpur,Wilayah Persekutuan,58000
Kampung Temerloh,Kuala Lumpur,Wilayah Persekutuan,53200
Kampung Tengah (Gombak),Kuala Lumpur,Wilayah Persekutuan,53100
Kampung Tepi Sungai,Kuala Lumpur,Wilayah Persekutuan,58000
Kampung Thambi Dollah,Kuala Lumpur,Wilayah Persekutuan,55100
Kampung Thambipillay,Kuala Lumpur,Wilayah Persekutuan,58000
Kampung Warisan,Kuala Lumpur,Wilayah Persekutuan,54200
Kampung Wira Jaya,Kuala Lumpur,Wilayah Persekutuan,53000
Kawasan Industrian Kampung Batu,Kuala Lumpur,Wilayah Persekutuan,51200
Kawasan Perindustrian Desa Tun Razak,Kuala Lumpur,Wilayah Persekutuan,56000
Kawasan Perindustrian Kepong Baru,Kuala Lumpur,Wilayah Persekutuan,52100
Kawasan Perindustrian Segambut,Kuala Lumpur,Wilayah Persekutuan,51200
Kawasan PerIndustrian Sri Edaran,Kuala Lumpur,Wilayah Persekutuan,52100
Kawasan Perindustrian Taman Ehsan,Kuala Lumpur,Wilayah Persekutuan,52100
Kawasan PerIndustrian Tri Segi,Kuala Lumpur,Wilayah Persekutuan,57100
Kawasan Perindustrian Trisegi,Kuala Lumpur,Wilayah Persekutuan,57100
Kawasan Perusahaan Kepong,Kuala Lumpur,Wilayah Persekutuan,52000
Kelab Golf Di Raja Selangor,Kuala Lumpur,Wilayah Persekutuan,55000
Kelab Lumba Kuda Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan,57000
Kelab Lumba Kuda Selangor,Kuala Lumpur,Wilayah Persekutuan,57000
Kelok Tunku,Kuala Lumpur,Wilayah Persekutuan,50480
Kem Ampat Tin,Kuala Lumpur,Wilayah Persekutuan,51100
Kem Batu Kentonmen,Kuala Lumpur,Wilayah Persekutuan,51100
Kem Genting Klang,Kuala Lumpur,Wilayah Persekutuan,53300
Kem Gerissen Sungai Besi,Kuala Lumpur,Wilayah Persekutuan,57000
Kem Sungai Besi,Kuala Lumpur,Wilayah Persekutuan,57000
Kem Tudm,Kuala Lumpur,Wilayah Persekutuan,50460
Kem Wardieburn,Kuala Lumpur,Wilayah Persekutuan,53300
Kementerian Kebudayaan Kesenian dan Warisan,Kuala Lumpur,Wilayah Persekutuan,50694
Kementerian Kerja Raya,Kuala Lumpur,Wilayah Persekutuan,50580
Kementerian Pelancongan,Kuala Lumpur,Wilayah Persekutuan,50694
Kementerian Pembangunan Wanita Keluarga & Masyarakat,Kuala Lumpur,Wilayah Persekutuan,50562
"Kementerian Penerangan, Komunikasi Dan Kebudayaan (KPKK)",Kuala Lumpur,Wilayah Persekutuan,50610
Kementerian Perdagangan Antarabangsa dan Industri,Kuala Lumpur,Wilayah Persekutuan,50622
Kementerian Pertahanan,Kuala Lumpur,Wilayah Persekutuan,50634
Kementerian Pertahanan - Bahagian Audit,Kuala Lumpur,Wilayah Persekutuan,50638
Kementerian Pertahanan - Bahagian Audit Dalam,Kuala Lumpur,Wilayah Persekutuan,50640
Kementerian Perumahan dan Kerajaan Tempatan,Kuala Lumpur,Wilayah Persekutuan,50644
Kenny Vale,Kuala Lumpur,Wilayah Persekutuan,50480
Kensington Park,Kuala Lumpur,Wilayah Persekutuan,50480
Keow Min Road,Kuala Lumpur,Wilayah Persekutuan,52000
Keow Min Street,Kuala Lumpur,Wilayah Persekutuan,52000
Kepong,Kuala Lumpur,Wilayah Persekutuan,52100
Kepong Baru,Kuala Lumpur,Wilayah Persekutuan,52100
Kepong Baru Tambahan,Kuala Lumpur,Wilayah Persekutuan,52100
Kepong Entrepreneus Park,Kuala Lumpur,Wilayah Persekutuan,52100
Kepong Industry Park,Kuala Lumpur,Wilayah Persekutuan,52200
Kepong Ulu,Kuala Lumpur,Wilayah Persekutuan,52100
Ketua Cawangan Trafik Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan,50560
Ketua Jurutera Mekanikal JKR Workshop Persekutuan Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan,50582
Ketua Pengarah Jabatan Perkhidmatan Pembentungan,Kuala Lumpur,Wilayah Persekutuan,50490
Ketua Pengarah Kerajaan Tempatan,Kuala Lumpur,Wilayah Persekutuan,50644
Ketua Polis Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan,50560
Ketua Polis Negara,Kuala Lumpur,Wilayah Persekutuan,50560
Kia Peng 6 Square,Kuala Lumpur,Wilayah Persekutuan,50450
Kiara Peak,Kuala Lumpur,Wilayah Persekutuan,50480
Kiara Verve Suites,Kuala Lumpur,Wilayah Persekutuan,50480
Kiara View,Kuala Lumpur,Wilayah Persekutuan,50480
Kinrara Mas Bukit Jalil,Kuala Lumpur,Wilayah Persekutuan,58200
KM 11 Jalan Gombak,Kuala Lumpur,Wilayah Persekutuan,53100
KM1 Residensi,Kuala Lumpur,Wilayah Persekutuan,57000
Kolej TAR,Kuala Lumpur,Wilayah Persekutuan,53000
Kompleks Antarabangsa,Kuala Lumpur,Wilayah Persekutuan,50250
Kompleks Belia Antarabangsa,Kuala Lumpur,Wilayah Persekutuan,56000
Kompleks Beli-Belah Quill,Kuala Lumpur,Wilayah Persekutuan,50250
Kompleks Budaya Kraf,Kuala Lumpur,Wilayah Persekutuan,50450
Kompleks Damai,Kuala Lumpur,Wilayah Persekutuan,50400
Kompleks Darul Kifayah,Kuala Lumpur,Wilayah Persekutuan,52000
Kompleks Dayabumi,Kuala Lumpur,Wilayah Persekutuan,50050
Kompleks Desa,Kuala Lumpur,Wilayah Persekutuan,52100
Kompleks Duta,Kuala Lumpur,Wilayah Persekutuan,50480
Kompleks Kewangan,Kuala Lumpur,Wilayah Persekutuan,50200
Kompleks Kota Raya,Kuala Lumpur,Wilayah Persekutuan,50000
Kompleks Maybank,Kuala Lumpur,Wilayah Persekutuan,59000
Kompleks Niaga Utama,Kuala Lumpur,Wilayah Persekutuan,59000
Kompleks Pasar (Sungai Besi),Kuala Lumpur,Wilayah Persekutuan,57000
Kompleks Sukan Bangsar,Kuala Lumpur,Wilayah Persekutuan,59100
Kompleks Sukan Negara,Kuala Lumpur,Wilayah Persekutuan,57000
Kondominium 28 Mont Kiara,Kuala Lumpur,Wilayah Persekutuan,50480
Kondominium Alam Puri,Kuala Lumpur,Wilayah Persekutuan,51200
Kondominium Bukit Cheras,Kuala Lumpur,Wilayah Persekutuan,56000
Kondominium Cengal,Kuala Lumpur,Wilayah Persekutuan,56000
Kondominium Ceriaan Kiara,Kuala Lumpur,Wilayah Persekutuan,50480
Kondominium Desarina,Kuala Lumpur,Wilayah Persekutuan,58100
Kondominium Inai 36,Kuala Lumpur,Wilayah Persekutuan,55100
Kondominium Iringan Hijau,Kuala Lumpur,Wilayah Persekutuan,55000
Kondominium Residensi Desa,Kuala Lumpur,Wilayah Persekutuan,58200
Kondominium Seri Ampang Hilir,Kuala Lumpur,Wilayah Persekutuan,55000
Kondominium Troika 19,Kuala Lumpur,Wilayah Persekutuan,50450
Kondominium Zamrud,Kuala Lumpur,Wilayah Persekutuan,58200
Kota Villas,Kuala Lumpur,Wilayah Persekutuan,50480
Kuala Lumpur - Beg berkunci,Kuala Lumpur,Wilayah Persekutuan,50990
Kuala Lumpur - Peti surat 6000,Kuala Lumpur,Wilayah Persekutuan,50988
Kuala Lumpur - Peti surat 8000,Kuala Lumpur,Wilayah Persekutuan,50989
Kuala Lumpur - Peti surat 10001 - 10026,Kuala Lumpur,Wilayah Persekutuan,50700
Kuala Lumpur - Peti surat 10027,Kuala Lumpur,Wilayah Persekutuan,50901
Kuala Lumpur - Peti surat 10028 - 10045,Kuala Lumpur,Wilayah Persekutuan,50700
Kuala Lumpur - Peti surat 10046 - 10048,Kuala Lumpur,Wilayah Persekutuan,50702
Kuala Lumpur - Peti surat 10049,Kuala Lumpur,Wilayah Persekutuan,50902
Kuala Lumpur - Peti surat 10050 - 10107,Kuala Lumpur,Wilayah Persekutuan,50704
Kuala Lumpur - Peti surat 10108,Kuala Lumpur,Wilayah Persekutuan,50903
Kuala Lumpur - Peti surat 10109 - 10111,Kuala Lumpur,Wilayah Persekutuan,50704
Kuala Lumpur - Peti surat 10112,Kuala Lumpur,Wilayah Persekutuan,50904
Kuala Lumpur - Peti surat 10113 - 10134,Kuala Lumpur,Wilayah Persekutuan,50704
Kuala Lumpur - Peti surat 10135,Kuala Lumpur,Wilayah Persekutuan,50704
Kuala Lumpur - Peti surat 10136 - 10143,Kuala Lumpur,Wilayah Persekutuan,50704
Kuala Lumpur - Peti surat 10144,Kuala Lumpur,Wilayah Persekutuan,50906
Kuala Lumpur - Peti surat 10145,Kuala Lumpur,Wilayah Persekutuan,50907
Kuala Lumpur - Peti surat 10146 - 10149,Kuala Lumpur,Wilayah Persekutuan,50704
Kuala Lumpur - Peti surat 10150,Kuala Lumpur,Wilayah Persekutuan,50908
Kuala Lumpur - Peti surat 10151 - 10156,Kuala Lumpur,Wilayah Persekutuan,50704
Kuala Lumpur - Peti surat 10157,Kuala Lumpur,Wilayah Persekutuan,50909
Kuala Lumpur - Peti surat 10158 - 10165,Kuala Lumpur,Wilayah Persekutuan,50704
Kuala Lumpur - Peti surat 10166 - 10186,Kuala Lumpur,Wilayah Persekutuan,50706
Kuala Lumpur - Peti surat 10187,Kuala Lumpur,Wilayah Persekutuan,50910
Kuala Lumpur - Peti surat 10188 - 10196,Kuala Lumpur,Wilayah Persekutuan,50706
Kuala Lumpur - Peti surat 10197,Kuala Lumpur,Wilayah Persekutuan,50911
Kuala Lumpur - Peti surat 10198 - 10225,Kuala Lumpur,Wilayah Persekutuan,50706
Kuala Lumpur - Peti surat 10226 - 10243,Kuala Lumpur,Wilayah Persekutuan,50708
Kuala Lumpur - Peti surat 10244,Kuala Lumpur,Wilayah Persekutuan,50912
Kuala Lumpur - Peti surat 10245 - 10285,Kuala Lumpur,Wilayah Persekutuan,50708
Kuala Lumpur - Peti surat 10286 - 10345,Kuala Lumpur,Wilayah Persekutuan,50710
Kuala Lumpur - Peti surat 10346 - 10406,Kuala Lumpur,Wilayah Persekutuan,50712
Kuala Lumpur - Peti surat 10407,Kuala Lumpur,Wilayah Persekutuan,50913
Kuala Lumpur - Peti surat 10408 - 10413,Kuala Lumpur,Wilayah Persekutuan,50712
Kuala Lumpur - Peti surat 10414,Kuala Lumpur,Wilayah Persekutuan,50914
Kuala Lumpur - Peti surat 10415 - 10435,Kuala Lumpur,Wilayah Persekutuan,50712
Kuala Lumpur - Peti surat 10436 - 10458,Kuala Lumpur,Wilayah Persekutuan,50714
Kuala Lumpur - Peti surat 10459,Kuala Lumpur,Wilayah Persekutuan,50915
Kuala Lumpur - Peti surat 10460 - 10495,Kuala Lumpur,Wilayah Persekutuan,50714
Kuala Lumpur - Peti surat 10496 - 10538,Kuala Lumpur,Wilayah Persekutuan,50716
Kuala Lumpur - Peti surat 10539,Kuala Lumpur,Wilayah Persekutuan,50916
Kuala Lumpur - Peti surat 10540 - 10555,Kuala Lumpur,Wilayah Persekutuan,50716
Kuala Lumpur - Peti surat 10577 - 10615,Kuala Lumpur,Wilayah Persekutuan,50718
Kuala Lumpur - Peti surat 10594,Kuala Lumpur,Wilayah Persekutuan,50917
Kuala Lumpur - Peti surat 10616 - 10628,Kuala Lumpur,Wilayah Persekutuan,50720
Kuala Lumpur - Peti surat 10629,Kuala Lumpur,Wilayah Persekutuan,50918
Kuala Lumpur - Peti surat 10630 - 10666,Kuala Lumpur,Wilayah Persekutuan,50720
Kuala Lumpur - Peti surat 10667,Kuala Lumpur,Wilayah Persekutuan,50919
Kuala Lumpur - Peti surat 10668 - 10670,Kuala Lumpur,Wilayah Persekutuan,50720
Kuala Lumpur - Peti surat 10671,Kuala Lumpur,Wilayah Persekutuan,50920
Kuala Lumpur - Peti surat 10672 - 10675,Kuala Lumpur,Wilayah Persekutuan,50720
Kuala Lumpur - Peti surat 10676 - 10683,Kuala Lumpur,Wilayah Persekutuan,50722
Kuala Lumpur - Peti surat 10684,Kuala Lumpur,Wilayah Persekutuan,50921
Kuala Lumpur - Peti surat 10685,Kuala Lumpur,Wilayah Persekutuan,50922
Kuala Lumpur - Peti surat 10686 - 10733,Kuala Lumpur,Wilayah Persekutuan,50722
Kuala Lumpur - Peti surat 10734,Kuala Lumpur,Wilayah Persekutuan,50923
Kuala Lumpur - Peti surat 10735,Kuala Lumpur,Wilayah Persekutuan,50722
Kuala Lumpur - Peti surat 10736 - 10767,Kuala Lumpur,Wilayah Persekutuan,50724
Kuala Lumpur - Peti surat 10768,Kuala Lumpur,Wilayah Persekutuan,50924
Kuala Lumpur - Peti surat 10769 - 10795,Kuala Lumpur,Wilayah Persekutuan,50724
Kuala Lumpur - Peti surat 10796 - 10798,Kuala Lumpur,Wilayah Persekutuan,50726
Kuala Lumpur - Peti surat 10799,Kuala Lumpur,Wilayah Persekutuan,50925
Kuala Lumpur - Peti surat 10800 - 10802,Kuala Lumpur,Wilayah Persekutuan,50726
Kuala Lumpur - Peti surat 10803,Kuala Lumpur,Wilayah Persekutuan,50926
Kuala Lumpur - Peti surat 10804 - 10845,Kuala Lumpur,Wilayah Persekutuan,50726
Kuala Lumpur - Peti surat 10846,Kuala Lumpur,Wilayah Persekutuan,50927
Kuala Lumpur - Peti surat 10847 - 10855,Kuala Lumpur,Wilayah Persekutuan,50726
Kuala Lumpur - Peti surat 10856 - 10889,Kuala Lumpur,Wilayah Persekutuan,50728
Kuala Lumpur - Peti surat 10890,Kuala Lumpur,Wilayah Persekutuan,50928
Kuala Lumpur - Peti surat 10891 - 10915,Kuala Lumpur,Wilayah Persekutuan,50728
Kuala Lumpur - Peti surat 10916 - 10921,Kuala Lumpur,Wilayah Persekutuan,50730
Kuala Lumpur - Peti surat 10922,Kuala Lumpur,Wilayah Persekutuan,50929
Kuala Lumpur - Peti surat 10923 - 10936,Kuala Lumpur,Wilayah Persekutuan,50730
Kuala Lumpur - Peti surat 10937,Kuala Lumpur,Wilayah Persekutuan,50930
Kuala Lumpur - Peti surat 10938 - 10958,Kuala Lumpur,Wilayah Persekutuan,50730
Kuala Lumpur - Peti surat 10959,Kuala Lumpur,Wilayah Persekutuan,50931
Kuala Lumpur - Peti surat 10960 - 10975,Kuala Lumpur,Wilayah Persekutuan,50730
Kuala Lumpur - Peti surat 10976 - 10978,Kuala Lumpur,Wilayah Persekutuan,50732
Kuala Lumpur - Peti surat 10979,Kuala Lumpur,Wilayah Persekutuan,50932
Kuala Lumpur - Peti surat 10980 - 10996,Kuala Lumpur,Wilayah Persekutuan,50732
Kuala Lumpur - Peti surat 10997,Kuala Lumpur,Wilayah Persekutuan,50933
Kuala Lumpur - Peti surat 10998 - 11035,Kuala Lumpur,Wilayah Persekutuan,50732
Kuala Lumpur - Peti surat 11036 - 11095,Kuala Lumpur,Wilayah Persekutuan,50734
Kuala Lumpur - Peti surat 11096 - 11155,Kuala Lumpur,Wilayah Persekutuan,50736
Kuala Lumpur - Peti surat 11156 - 11215,Kuala Lumpur,Wilayah Persekutuan,50738
Kuala Lumpur - Peti surat 11216 - 11305,Kuala Lumpur,Wilayah Persekutuan,50740
Kuala Lumpur - Peti surat 11306 - 11365,Kuala Lumpur,Wilayah Persekutuan,50742
Kuala Lumpur - Peti surat 11366 - 11425,Kuala Lumpur,Wilayah Persekutuan,50744
Kuala Lumpur - Peti surat 11426 - 11485,Kuala Lumpur,Wilayah Persekutuan,50746
Kuala Lumpur - Peti surat 11486 - 11545,Kuala Lumpur,Wilayah Persekutuan,50748
Kuala Lumpur - Peti surat 11546 - 11605,Kuala Lumpur,Wilayah Persekutuan,50750
Kuala Lumpur - Peti surat 11606 - 11665,Kuala Lumpur,Wilayah Persekutuan,50752
Kuala Lumpur - Peti surat 11666 - 11725,Kuala Lumpur,Wilayah Persekutuan,50754
Kuala Lumpur - Peti surat 11726 - 11785,Kuala Lumpur,Wilayah Persekutuan,50758
Kuala Lumpur - Peti surat 11786 - 11845,Kuala Lumpur,Wilayah Persekutuan,50758
Kuala Lumpur - Peti surat 11846 - 11905,Kuala Lumpur,Wilayah Persekutuan,50760
Kuala Lumpur - Peti surat 11906 - 11965,Kuala Lumpur,Wilayah Persekutuan,50762
Kuala Lumpur - Peti surat 11966 - 12004,Kuala Lumpur,Wilayah Persekutuan,50764
Kuala Lumpur - Peti surat 12005,Kuala Lumpur,Wilayah Persekutuan,50934
Kuala Lumpur - Peti surat 12006,Kuala Lumpur,Wilayah Persekutuan,50935
Kuala Lumpur - Peti surat 12007 - 12009,Kuala Lumpur,Wilayah Persekutuan,50764
Kuala Lumpur - Peti surat 12010,Kuala Lumpur,Wilayah Persekutuan,50936
Kuala Lumpur - Peti surat 12011 - 12025,Kuala Lumpur,Wilayah Persekutuan,50764
Kuala Lumpur - Peti surat 12026 - 12034,Kuala Lumpur,Wilayah Persekutuan,50766
Kuala Lumpur - Peti surat 12035,Kuala Lumpur,Wilayah Persekutuan,50937
Kuala Lumpur - Peti surat 12036 - 12081,Kuala Lumpur,Wilayah Persekutuan,50766
Kuala Lumpur - Peti surat 12082,Kuala Lumpur,Wilayah Persekutuan,50938
Kuala Lumpur - Peti surat 12083 - 12085,Kuala Lumpur,Wilayah Persekutuan,50766
Kuala Lumpur - Peti surat 12086 - 12109,Kuala Lumpur,Wilayah Persekutuan,50768
Kuala Lumpur - Peti surat 12110,Kuala Lumpur,Wilayah Persekutuan,50939
Kuala Lumpur - Peti surat 12111 - 12175,Kuala Lumpur,Wilayah Persekutuan,50768
Kuala Lumpur - Peti surat 12176 - 12214,Kuala Lumpur,Wilayah Persekutuan,50770
Kuala Lumpur - Peti surat 12215,Kuala Lumpur,Wilayah Persekutuan,50940
Kuala Lumpur - Peti surat 12216 - 12224,Kuala Lumpur,Wilayah Persekutuan,50770
Kuala Lumpur - Peti surat 12225,Kuala Lumpur,Wilayah Persekutuan,50941
Kuala Lumpur - Peti surat 12226,Kuala Lumpur,Wilayah Persekutuan,50770
Kuala Lumpur - Peti surat 12227,Kuala Lumpur,Wilayah Persekutuan,50942
Kuala Lumpur - Peti surat 12228 - 12230,Kuala Lumpur,Wilayah Persekutuan,50770
Kuala Lumpur - Peti surat 12231,Kuala Lumpur,Wilayah Persekutuan,50943
Kuala Lumpur - Peti surat 12232 - 12235,Kuala Lumpur,Wilayah Persekutuan,50770
